Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter £®nm£©,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),Reduction Temperature,Reduction Time/min,Reducing agent( chemical name in english),pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential £®V vsRHE£©,Onset Potential £®V vsRHE£©,Reduce in MA/ mA mg-1,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp©,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0
Anchoring ultrafine Pt nanoparticles on the 3D hierarchical self-assembly of graphene/functionalized carbon black as a highly efficient oxygen reduction catalyst for PEMFCs,Zhigang Shao,china,Dalian Institute of Chemical Physics£¨Chinese Academy of Sciences,2018,Pt/rGO1®CFCB2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,84,1.9,,graphene,,269,140,720,ethylene glycol,10,25,0,0,0,62.1,249,0.400966184,0.886,1,,,4,0.18,0.3,,nafion 211,25,,,,100,1,65,,,,,0,0,0.05,,1,1358,0.98,0.865,0.84,0.815,0.8,0.775,0.755,0.745,0.73,0.715,0.7,0.695,0.68,0.67,0.655,0.65,0.64,0.625,0.615,0.6,0.59,0.575,0.56,0.55,0.54,0.525,0.515,0.495,0.485,0.46,0.45
Preparation of an octahedral PtNi/CNT catalyst and its application in high durability PEMFC cathodes,Bing Li,China,Tongji University,,Oct PtNi/CNTs,48.2,0,0,,0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,60.5,12.8,,CNTs,,120,160,720,dimethylformamide,7,25,0,0,0,34.8,479,1.376436782,0.915,1.05,160.94,0.33,25,0.4,0.2,40,Gore membrane,15,,,,80,1,80,255,450,1.7,3,255,450,0,,0.21,432,0.915,0.802,0.77,0.73,0.7,0.675,0.643,0.6,0.54,0.465,0.38,0.30218,0.23647,0.18025,0.1316,0.0891,0.05164,0.01838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,,2018,Pt/rGO-VC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.2,0.2,XC-72R/R-GO hybrid,,,100,60,morpholine borane,7,400,1,1,0,87,8.67,0.009965517,0.81,0.95,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,861,1,0.835,0.79,0.77,0.735,0.72,0.7,0.675,0.66,0.635,0.62,0.6,0.58,0.565,0.54,0.525,0.505,0.485,0.47,0.45,0.43,0.41,,0.36,0.34,0.32,0.29,0.27,0.24,0.21,0.18156
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,,2018,Pt/VC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.3,0.3,XC-72R,30,230,100,60,morpholine borane,7,400,1,1,0,50,0.84,0.00168,0.75,0.95,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,739.5,1,0.815,0.775,0.74,0.72,0.69,0.675,0.65,0.63,0.605,0.59,0.56,0.54,0.52,0.5,0.48,0.46,0.435,0.41,0.38,0.355,0.33,0.3,0.27,0.235,0.215,0.19586,0.17828,0.1621,0.14714,0.13327
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,Atat®πrk University,2018,Pt/rGO,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.4,0.4,graphene,,600,100,60,morpholine borane,7,400,1,1,0,54,5.79,0.010722222,0.72,0.95,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,690,1,0.84,0.8,0.77,0.735,0.71,0.685,0.665,0.64,0.61,0.59,0.56,0.54,0.51,0.49,0.46,0.43,0.4,0.365,0.335,0.3,0.27,0.23,0.19238,0.15898,0.12914,0.1023,0.07805,0.05602,0.03592,0.01751
A highly durable carbon-nanofiber-supported Pt®CC core®Cshell cathode catalyst for ultra-low Pt loading proton exchange membrane fuel cells:facile carbon encapsulation,Oh Joong Kwon,korea,Incheon National University,2019,Pt@CS/CNF600,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,3.11,0,0,0,0,0,0,0,0,49.7,3.3,0.7,nitrogen-doped carbon nanofiber,,,25,0,none,7,600,1,0,1,95.6,55,0.057531381,0.875,1,,,5,0.1,0.025,20,nafion 212,50,,,,100,0,80,150,800,,,0,0,0,,0.21,600,0.93,0.8,0.75,0.715,0.7,0.66,0.64,0.61,0.6,0.565,0.55,0.515,0.5,0.46,0.415,0.37,0.3,0.2,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A highly durable carbon-nanofiber-supported Pt®CC core®Cshell cathode catalyst for ultra-low Pt loading proton exchange membrane fuel cells:facile carbon encapsulation,Oh Joong Kwon,korea,Incheon National University,2019,Pt@CS/CNF700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,2.82,0,0,0,0,0,0,0,0,51.9,3.6,0.7,nitrogen-doped carbon nanofiber,,,25,0,none,7,700,1,0,1,100.5,66.5,0.066169154,0.88,1,,,5,0.1,0.025,20,nafion 212,50,,,,100,0,80,150,800,,,0,0,0,,0.21,576,0.89,0.8,0.75,0.725,0.7,0.67,0.64,0.625,0.6,0.575,0.545,0.505,0.48,0.43,0.375,0.29,0.2,0.1178,0.04871,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A highly durable carbon-nanofiber-supported Pt®CC core®Cshell cathode catalyst for ultra-low Pt loading proton exchange membrane fuel cells:facile carbon encapsulation,Oh Joong Kwon,korea,Incheon National University,2019,Pt@CS/CNF900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,3.05,0,0,0,0,0,0,0,0,49,4,0.8,nitrogen-doped carbon nanofiber,,,25,0,none,7,900,1,0,1,99.6,75,0.075301205,0.889,1,,,5,0.1,0.025,20,nafion 212,50,,,,100,0,80,150,800,,,0,0,0,,0.21,617.5,0.94,0.8,0.755,0.725,0.7,0.675,0.65,0.625,0.6,0.59,0.56,0.535,0.505,0.475,0.435,0.39,0.32,0.235,0.15718,0.09147,0.03525,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Monodispersed Pt3Ni Nanoparticles as a Highly Efficient Electrocatalyst for PEMFCs,Gu Jun,china,Nanjing University,2019,Pt3Ni/EC-600,72.7,0,0,0,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0,0,0,0,0,0,0,0,0,72.2,2.8,0.4,EC600,34,1400,0,60,NaBH4,7,25,0,0,0,98.9,139,0.140546006,0.855,1,,0.7,25,0.4,0.1,60,nafion 211,25,,,,100,0,75,225,375,1.5,2.5,225,375,0.1,,0.21,1285.41,0.931,0.84,0.81,0.79,0.775,0.755,0.74,0.725,0.715,0.7,0.68,0.665,0.65,0.635,0.615,0.59586,0.57828,0.5621,0.54714,0.53327,0.52039,0.50838,0.49716,0.48666,0.4768,0.46754,0.45882,0.45059,0.44281,0.43545,0.42847
ZIF derived PtNiCo/NC cathode catalyst for proton exchange membrane fuel cell,Naseem Iqbal,Pakistan,National University of Sciences and Technology,2019,PtNiCo/NC,92.14,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0.72,0,0,0,0,0,0,0,0,70.54,3.1,,ZIF-derived,,807,25,0,none,7,700,3.5,1,0,55,7210,13.10909091,0.91,1.03,,0.18,5,0.12,0.12,,nafion 212,50,,,,100,0,70,200,300,,,0,0,0.1,,1,405,1.05,0.76,0.715,0.675,0.64,0.605,0.57,0.54,0.49,0.45,0.4,0.365,0.325,0.295,0.26656,0.24092,0.2177,0.19657,0.17725,0.15952,0.1432,0.12812,0.11415,0.10117,0.08907,0.07777,0.0672,0.05728,0.04796,0.03919,0.03091
ZIF derived PtNiCo/NC cathode catalyst for proton exchange membrane fuel cell,Naseem Iqbal,Pakistan,National University of Sciences and Technology,2019,PtNiCo/NC,92.14,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0.72,0,0,0,0,0,0,0,0,70.54,3.1,,ZIF-derived,,807,25,0,none,7,700,3.5,1,0,55,7210,13.10909091,0.91,1.03,,0.4,5,0.12,0.12,,nafion 212,50,,,,100,0,70,200,300,,,0,0,0.1,,1,731,1.05,0.855,0.8,0.77,0.74,0.7,0.68,0.65,0.64,0.62,0.595,0.565,0.55,0.515,0.5,0.475,0.45,0.43,0.4,0.365,0.33,0.29695,0.26741,0.24083,0.21679,0.19495,0.17501,0.15675,0.13995,0.12445,0.1101
ZIF derived PtNiCo/NC cathode catalyst for proton exchange membrane fuel cell,Naseem Iqbal,Pakistan,National University of Sciences and Technology,2019,PtNiCo/NC,92.14,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0.72,0,0,0,0,0,0,0,0,70.54,3.1,,ZIF-derived,,807,25,0,none,7,700,3.5,1,0,55,7210,13.10909091,0.91,1.03,,0.45,5,0.12,0.12,,nafion 212,50,,,,100,0,70,200,300,,,0,0,0.1,,1,602,1.05,0.815,0.78,0.75,0.71,0.7,0.65,0.64,0.6,0.575,0.55,0.52,0.495,0.455,0.43,0.4,0.36,0.325,0.29195,0.26241,0.23583,0.21179,0.18995,0.17001,0.15175,0.13495,0.11945,0.1051,0.09178,0.07938,0.06781
ZIF derived PtNiCo/NC cathode catalyst for proton exchange membrane fuel cell,Naseem Iqbal,Pakistan,National University of Sciences and Technology,2019,PtNiCo/NC,92.14,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0.72,0,0,0,0,0,0,0,0,70.54,3.1,,ZIF-derived,,807,25,0,none,7,700,3.5,1,0,55,7210,13.10909091,0.91,1.03,,0.4,5,0.12,0.12,,nafion 212,50,,,,100,0,70,200,300,,,0,0,0.1,,1,1068,1.05,0.9,0.85,0.825,0.795,0.765,0.75,0.73,0.7,0.675,0.66,0.65,0.63,0.615,0.6,0.58,0.565,0.55,0.54,0.52,0.5,0.49,0.475,0.46,0.445,0.42,0.4,0.38,0.36,0.335,0.31119
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt/PECNTs,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.716,0.911,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,40,150,150,1,1,150,150,0,,1,407,0.8,0.725,0.675,0.64,0.6,0.56,0.535,0.5,0.465,0.44,0.405,0.37,0.33,0.3,0.255,0.215,0.17738,0.14398,0.11414,0.0873,0.06305,0.04102,0.02092,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt/PECNTs,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.716,0.911,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,50,150,150,1,1,150,150,0,,1,455,0.8,0.725,0.685,0.65,0.615,0.585,0.55,0.525,0.5,0.46,0.44,0.405,0.375,0.35,0.32,0.285,0.25,0.215,0.18195,0.15241,0.12583,0.10179,0.07995,0.06001,0.04175,0.02495,0.01,0.01,0.01,0.01,0.01
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt/PECNTs,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.716,0.911,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,60,150,150,1,1,150,150,0,,1,490,0.8,0.75,0.7,0.665,0.64,0.605,0.575,0.55,0.515,0.49,0.46,0.44,0.405,0.375,0.35,0.325,0.3,0.27,0.235,0.2,0.16695,0.13741,0.11083,0.08679,0.06495,0.04501,0.02675,0.01,0.01,0.01,0.01
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt3SC/PECNTs,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.746,0.941,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,40,150,150,1,1,150,150,0,,1,638.4,0.94,0.82,0.775,0.745,0.71,0.685,0.659,0.633,0.607,0.581,0.555,0.529,0.503,0.477,0.451,0.425,0.399,0.373,0.347,0.321,0.295,0.269,0.22181,0.20135,0.18262,0.16541,0.14955,0.13487,0.12126,0.10861,0.0968
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt3SC/PECNTs,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.746,0.941,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,50,150,150,1,1,150,150,0,,1,1214.88,0.94,0.825,0.775,0.75,0.725,0.7,0.6753,0.65177,0.63037,0.61081,0.59288,0.57638,0.56114,0.54703,0.53391,0.5217,0.5103,0.49963,0.48963,0.48023,0.47138,0.46304,0.45516,0.4477,0.44063,0.43393,0.42755,0.42149,0.41572,0.41021,0.40496
Highly efficient and ORR active platinum-scandium alloy-partially exfoliated carbon nanotubes electrocatalyst for Proton Exchange Membrane Fuel Cell,S. Ramaprabhu,India,Indian Institute of Technology Madras,2019,Pt3SC/PECNTs,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,35,0,0,0,0,0,0,0,0,0,65,3.9,,CNTs,,114,160,240,ethylene glycol,12,25,0,0,0,95.7,217,0.226750261,0.746,0.941,,,11.56,0.2,0.1,46,nafion 212,50,130,4,,100,1,60,150,150,1,1,150,150,0,,1,743.4,0.94,0.835,0.79,0.77,0.745,0.725,0.701,0.677,0.653,0.629,0.605,0.581,0.557,0.533,0.509,0.485,0.461,0.437,0.413,0.389,0.365,0.341,0.317,0.293,0.27012,0.24928,0.23023,0.21273,0.19661,0.18171,0.1679
